Content,Rating,Label
此用户未填写评价内容,5,1
此用户未填写评价内容,3,0
此用户未填写评价内容,4,1
一般般，一分钱一分货吧,1,0
商品质量很好，很满意，配送速度快啊，而且配送员态度也非常好。,4,1
。。。,5,1
刘慧敏提莫摸摸摸休息泽TCL退咯的一组婆婆破鼓规土局,5,1
还好还好还好还好红红火火好很好好,5,1
好好好好好好好好，好好好好好很好,5,1
很好很好很好好好好好好好好好,5,1
您没有填写内容，默认好评,3,0
啊啊啊啊啊啊啊啊啊啊啊啊啊啊,5,1
很好很强大，继续努力哟,5,1
你达州咯了8和睦妈呀他您了lz不够了,5,1
不错不错不错不错不错不错,5,1
还没用，用后追加评价,5,1
好，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，,5,1
东西很好很好很好很好很好很好很好很好很好,5,1
此用户未填写评价内容,2,0
很好，很好，很好，很好，很好。,5,1
妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴妥妥滴,5,1
不错哦(&acute;-&omega;-`)赠品棒棒的，以后会常来哒。,5,1
您没有填写内容，默认好评,5,1
您没有填写内容，默认好评,1,0
还好！！！！！！！！！！！！！！！！！！！！,5,1
好好好好好好好好好好好好好,5,1
好评好评好评好评好评好评好评好评好评好评好评好评,5,1
sfhujhcvn**,5,1
6666546487648484046467873484,5,1
哈哈哈哈哈哈哈哈哈,5,1
OK看看健健康康坎坎坷坷坎坎坷坷坎坎坷坷门口看看坎坎坷坷坎坎坷坷坎坎坷坷,5,1
不错不错不错不错不错不错不错不错出版,5,1
考虑考虑咯嗯默默哦萝莉控哦哦我问一下监控墨鱼汤,5,1
当我沉默的时候，我觉得很充实，当我开口说话，就感到了空虚。,5,1
习惯性好评，为了豆豆我要凑足多少个字来着？,5,1
可以！！！！！！！！！,5,1
价廉物美 一如既往的好评,5,1
不错，可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以,5,1
儿子很喜欢，很好操控，玩的很个开心,5,1
质量很好，主要是价格也很公道。物流也很给力，好评，以后还会光顾的,5,1
宝贝收到了，孩子很喜欢,5,1
???,5,1
飞行器收到了，拿回来就打开试了下很不错，质量很好，和店里卖几百的一样，而且容易控制，很喜欢,5,1
此用户未及时填写评价内容，系统默认评价！,5,1
很不错,5,1
物流签收了，这款玩具孩子很喜欢，质量不错，性价比高，高大上啊！,5,1
东西收到了，性价比很高，比实体店的还要便宜很多，真是一款不错的好东西,5,1
不错,5,1
特意玩了几天才来评价，质量不错，孩子很喜欢，邻居见了跟我要链接也要购买。,5,1
东西收到了  质量真的不错  包装也很上档次  物流也很快,5,1
东西不错  收到后试了下  挺好,5,1
看了好几款，果然下断了这一款，收到之后试飞了一下，果然很方便，操作简单，看着非常不错。,5,1
无人机收到了质量很不错飞的也挺远的特别喜欢,5,1
质量挺好，简单很好操作，孩子很喜欢,5,1
物流快，孩子很喜欢玩，质量很好，和图片描述的一样,5,1
玩了一段时间，质量还不错，孩子也掌控的很好，非常喜欢，超赞！,5,1
很好,5,1
飞机很耐撞，质量杠杠的,5,1
物美价廉，发货物流快，配送及时。,5,1
物流快，做工精致，整个款设计独特时尚。质量很好，儿子很喜欢，比实体店便宜很多，超满意,5,1
质量超级好 物流也很快呀 店家态度好好呢 很高大上 孩子都很喜欢呢,5,1
物流很快，质量很好，很喜欢,5,1
收到啦收到啦，物流速度很快呀，孩子很喜欢玩，正好周末带着孩子去公园放飞，?,5,1
不错不错，很好很好。。。。,5,1
飞行平稳，操作简单，玩了一些日子还是和新的一样，质量真不错,5,1
不错哦，电池使用时长持久。先是我的玩具啊，哈哈哈。个人表示很喜欢。,5,1
东西很不错，很高级，掌控一下就会了，很厉害。,5,1
好玩的,5,1
好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,5,1
无人机性能好，飞得平稳，感应力强，上手快容易操作，电池待机时间也挺长的，总的来说满意。,5,1
非常不错,5,1
发货速度很快，质量看起来还不错,5,1
发货速度很快，操作很简单，孩子玩的不亦乐乎,5,1
飞行很稳定，价格实惠。,5,1
孩子很喜欢玩，物超所值,5,1
好调控！自由飞行,5,1
很满意,5,1
无人机收到了，感谢！质量很好，挺不错的,5,1
飞机挺棒的，孩子玩的挺简单的，质量也挺不错的，实惠又便宜,5,1
给朋友家孩子买的，很喜欢质量也非常好，,5,1
送货速度快，价格合理，非常满意。,5,1
宝贝，收到了，外观设计漂亮，包装也很好，值得推荐,5,1
无人机质量很好，飞行很平稳，电池也很耐用，儿子特别喜欢。,5,1
电池容量大，耐用,5,1
好评,5,1
好好好好好好好好好好好好好好,5,1
拿回来闺女就玩上了，操作简单，上手很快，质量很好，跟描述的一样,5,1
宝贝收到了，拿回来儿子就急着要玩，操作简单，玩了几天，感觉挺好的！,5,1
太坑了，说话不算数,5,1
很好用,5,1
孩子可喜欢了，操作也蛮简单的，质量好价格也实惠，女儿一收到就闹着要下楼去玩，,5,1
飞机收到啦，正好今天周末带儿子去广场玩了一圈，不错，质量挺好的，挺抗摔，儿子玩的挺高兴,5,1
送给孩子的新年礼物，宝贝很喜欢，性价比高，值得购买物流很快！！！,5,1
电池续航时间长，质量也好,5,1
真好玩啊！质量很好架子很结实，小小的地方做工都很精致,5,1
质量很好，孩子很喜欢玩，没有异味，可以放心购买,5,1
非常完美的一次购物，宝贝儿非常喜欢，玩的都不睡觉了，非常棒！,5,1
在家玩了一下还是不错的，哈哈,5,1
东西还不错，东西还不错,5,1
飞机质量非常好，包装也很高档次，操控简单，很容易上手，飞的也很高，很耐摔，玩起来好开心。,5,1
老人家觉得蛮新奇?,5,1
第一次尝试vr眼镜，很有趣,5,1
手柄都没有，不知道怎么用,5,1
买手表送的，等试用后再来评论,5,1
颗粒感严重，一分钱一分货吧，资源也少。,5,1
满意,5,1
真是用一次就扔了,5,1
宝贝很好，物流很快，方便便于玩耍,5,1
送的，还没开始用,5,1
不知道 还没用,5,1
好东东，支持国货，全五星！！！！！！,5,1
物流很快，飞机质量不错，挺好的，下次如果孩子需要还来买。,5,1
一般般吧！没有想象中的好。,3,0
片源真的少，而且清晰度不够。只能满足一下好奇心了。,5,1
送人的，挺不错?的,5,1
还好,4,1
孩子看到很高兴，玩的也很开心，质量很棒的,5,1
买华为手环送的，还没有用过，应该还行吧,5,1
包装得非常仔细，第二天就送到家了，又快又好非常棒。,5,1
没啥用。,5,1
不错，待机时间了，,5,1
帮邻居买的，她看到我家买的挺好，就让我帮她买了，价钱比实体店便宜多了，电池耐用，很满意,5,1
好,5,1
质量棒棒的、比实体店质量还好、价格还便宜、小孩很喜欢、爱不释手&hellip;,5,1
送的，好评，聊胜于无,5,1
完美,5,1
外观颜值高，做工精细。摄像清晰，很耐摔，孩子大人都玩得很嗨！,5,1
就是一个眼镜，感觉还可以,5,1
垃圾玩意,5,1
还没有使用，希望可以吧。。。,5,1
谢谢店家非常喜欢,5,1
很好很喜欢的啦！,5,1
没用的东西。,2,0
就是个鸡肋，送的就那样吧,5,1
质量很好，发货很快，跟卖家描述的一样，可以放心购买！,5,1
好玩，宝宝很喜欢，飞行很久，电池很耐用，充一次电飞行很久,5,1
赠品，还没有用，不知道怎么样,5,1
很好哦！儿子喜欢玩，质量也不错！,5,1
买无人机配送的电池，用着续航能力还行！满意的一次购物！,5,1
这个带着看看,5,1
喜欢哦！满意,5,1
质量很好，比较容易上手操作！孩子很喜欢！,5,1
已经收到了。质量还不错，宝宝挺喜欢的,5,1
给朋友买的，当生日礼物，朋友说挺好的，很开心,5,1
发货快，质量不错，容易上手操控,5,1
不太好用,5,1
质量特别好，太好玩了！说是给孩子买的，几个大人都玩嗨了?！,5,1
试了试，app感知不好，好多不能下载不能用，在优酷找了几个视频，感觉还成。,5,1
无聊买来玩玩,5,1
还没使用，用过后再评价。,5,1
质量很好，包装精美，看着很不错，性比价高，有需要还会再来,5,1
中丘投资控股有限公司 非常满意 继续采购！！！,5,1
是否对眼睛使用有影响？,5,1
收到了，质量不错，性比价高，有需要还会再来,5,1
送我姐孩子的生日礼物，他很喜欢。。,5,1
又买一个很值得推荐，体验不错,5,1
挺不错的，质量很好，遥控灵敏，孩子很喜欢,5,1
质量不错哦，很喜欢。,5,1
虽然是赠品，但是体验感受下也不错。,5,1
不错，很好用，下次还来光顾,5,1
我以为是。。。。。结果是。。。。。。,5,1
发货快，物流给力，和描述的一样，客服服务态度好，下次再来,5,1
试戴了下感觉清晰度一般佩戴时间长了容易造成头晕眼花等现象，稍微玩下还是不错的。,5,1
权当是个玩具，没什么太大用处,5,1
快递速度很快，产品质量很好，很喜欢，非常愉快的一次购物,5,1
感觉还不错，带眼睛的近视就不好了，资源有点少,5,1
重影，一般,2,0
赠品，有瞳距调节，没有焦距调节，眼睛有度数就没法看清楚了,5,1
试玩了下，飞的很稳定，不错，值这个价钱,5,1
这就是一个一次性玩具，不建议购买，画质很差，抱有期望的同志们就不要考虑这款了。,5,1
飞机模型很好，孩子很喜欢，质量也很好，满意。,5,1
多次购买，朋友带小孩到家做客，拿上飞机老是爱不释手，没办法，只好送了,5,1
东西很满意，质量很好，也很喜欢。,5,1
不晓得怎么用,5,1
就是两个塑料镜片，没啥用，这赠品还不如不要,1,0
实际使用意义不大！！,5,1
遥控飞机质量很好，操作简单，孩子很喜欢，价格不贵，很满意,5,1
华为有心了，虽然质量一般，毕竟是赠品，能接受。会一直支持国货代表品牌,5,1
宝贝 用了一段时间  感觉不错,5,1
东西还是不错的样子哦不错不错,5,1
入门版VR眼镜，华为手环的赠品，感受一下还是不错的。,5,1
非常好，很是完美 值得拥有,5,1
质量很好,5,1
好好好,5,1
孩子很喜欢，每天都玩。爱不释手。质量很好,5,1
买华为手表，赠送的，里面功能非常超前，学习中,5,1
便宜无好货，我感觉是这样。可能是我眼镜的事，或者是没操作好，一直重影，不能清晰的看到3D效果啊。,5,1
小飞机不错，质量很好，孩子非常喜欢,5,1
VR的新体验，可以尝试一下新的东西，蛮好的，推荐大家都试试。,5,1
感觉有点落伍了，软件东西太少，,3,0
挺好的,5,1
货真价实，物流很快，喜欢,5,1
送的，没啥用,5,1
赠品，试试看吧,5,1
到货速度快，小哥态度好，非常满意的一次网购经历,5,1
宝贝很喜欢，试过了！平衡力很不好！邻居看见了也想黑给儿子买个！,5,1
还可以。就是不如电子的好，手机能够直接用。,5,1
赠品还不错，清晰度一般,5,1
还没拆，礼物吗吗？,5,1
APP的应用的视频或者哦，游戏东西太少了，没有什么直接的感觉,5,1
帮朋友买的，老顾客了，产品质量还是这么好，朋友很喜欢，买的超值，让给店家个赞，下次还来,5,1
充一次电用很长时间，有需要会再来的，,5,1
给儿子买的生日礼物，非常喜欢，卖家服务态度好，发货也很快，给商家点赞！,5,1
收到货，还没试用。,5,1
锻炼宝贝的动手动脑能力，很棒,5,1
还算不错，小孩子玩玩可以,5,1
很好，物超所值！,5,1
不错，很好，不一样的感觉，有点意思。,5,1
戴上重，效果还是可以的，下载了app，可以看电影了,5,1
小宝很喜欢，操作简单，价格实惠，满意,5,1
好着哩,5,1
赠品还没用，外形高大上,5,1
虽然价格便宜，性能超出现象，很好,5,1
电池安装很方便，非常耐用。。,5,1
赠品，还没有使用，希望好玩,5,1
还蛮不错的呢,5,1
这个算是高科技吧，还没用,5,1
发货很快，质量不错，期待再次购买,5,1
非常好，晚上回家体验一把,5,1
不错，相信大品牌，经常买了，价格非常好啊啊啊啊,5,1
还是蛮不错的,5,1
这个飞机不错，试飞了很好玩，拿出去很拉风，卖家服务好，有需要再来,5,1
宝贝很好，儿子喜欢的不得了，宝贝材料质地都挺不错,5,1
2微码扫不了，体验不好,5,1
买手表送的，感觉还不错，好玩的东西,5,1
东西不错，物超所值，物流也很给力，包装也不错，都挺好的,5,1
很好，物有所值哦,5,1
什么资源都没有？,1,0
戴着很舒服，片源不怎么清晰。,5,1
感觉不错。,5,1
赠品还没用，看起来不错,5,1
不错，质量挺好的，特地玩了几天才来评价，性价比很高，比外面买便宜很多，喜欢,5,1
物流快，性价比高，自营有保障,5,1
赠送的东西，我弟说还行&hellip;有点点效果。,5,1
赠品，好好好好好好好好好好好好,5,1
重影比较严重，效果比较差，,5,1
还没有使用，春节前收到就在外过年，然后没想起来，期待效果。,5,1
送的东西，就是呵呵,1,0
找不到APP,3,0
好用，,5,1
收到就迫不及待的打开了，质量不错，孩子很喜欢,5,1
质量很好，非常不错，操作简单，一学就会，非常不错！,5,1
科技感十足，特别酷。。。,5,1
赠品,4,1
玩具质量很好，很环保。电池很耐用。孩子非常喜欢。,5,1
还行，一分钱一分货，也不指望有多清晰,5,1
电池很耐用，质量很好。,5,1
赠送的，很不错。,5,1
东西很尴尬头带着不舒服,5,1
手机都有2个了，效果就那样吧，反正是赠品！,5,1
电磁耐用，满意,5,1
飞机收到，包装很好，没有磕碰，孩子很喜欢，很好操控，结实，不怕摔，好评，好评。,5,1
还没拆开，用了再追评,4,1
赠品就那样,5,1
买手环送的，还可以，对得起这个价格了,5,1
宝贝很好，公司采购用的，试看了一下很完美,5,1
购物送的，还没用，看着不错！,5,1
可以,5,1
买华为手表送的，也不知道好不好用，嗯，但是这种东西比较伤眼睛的，买得到买的人，自己慎重选择,5,1
赠品，不怎么喜欢,5,1
什么都好 客服内心解答 就是手柄没补发,5,1
很好，不错，用着还可以,5,1
蓝牙连不到手柄，不清晰，跟小时候玩的玩具有的比，不成熟的技术不要拿出来卖啊,1,0
质量不错，操作简单，大人孩子都挺喜欢的。,5,1
赠品，尚未使用。,5,1
订了一套，结果手柄没给我发货，手柄半个月了马上人都走了，还没给人处理,1,0
买手表送的，基本没什么用,5,1
赠品，看着还行,5,1
非常好的赠品，大方漂亮，非常好，京东服务好，速度快,5,1
觉得挺垃圾的，很模糊，还是扔了吧，很浪费。,5,1
送的，这东西没什么用，片源太少了，很鸡肋。,5,1
相对于这个价格来，还是不错的,5,1
app内容太少，基本上没有完整的影片，影像较模糊。小孩子玩玩还是可以的,4,1
赠品还可以吧,5,1
小孩很喜欢,5,1
手表赠品，都没有手柄，也不够清晰，20-2000没太大区别,5,1
暴风魔盒。很不错，方便小巧。六寸的手机也能放下。近视的可以戴眼镜。,5,1
很好玩，是个不错的宝贝，很好的体验。,5,1
好东西儿子用。,5,1
对赠品没要求，如果花钱感觉不值。,5,1
看着很高大上的，,5,1
玩具质量很好，价格比实体店便宜，操作简单，孩子自己就可以玩,5,1
还不错,5,1
非常非常非常的好，支持国产。,5,1
可以用,5,1
京东真的很好 送货快 价格便宜 质量也好,5,1
小孩就是喜欢这些玩具，喜欢玩新鲜的。看着小孩玩的好开心，感觉很不错。,5,1
质量棒棒的，儿子非常喜欢,5,1
虽然是送的，但是这种低端的VR体验不太好，不建议购买。,3,0
礼品还好吧。一分钱一分货,5,1
质量真的不错，孩子玩的很开心，遥控很灵活，个人感觉还是比较锻炼孩子的动手动脑能力，很满意,5,1
不错，挺好，非常好，信赖京东。,5,1
VR3D眼镜 效果真好出乎意料,5,1
赠的东西，还没有拆开过&hellip;,5,1
感觉不是很实用。,5,1
这个是赠品，没怎么用，,5,1
飞机质量不错，很容易操作，孩子学的很快，玩起来很开心,5,1
看着不错,5,1
质量很好，耐用,5,1
东西能用，APP里的资源太次，看着都是马赛克！还有bug,5,1
很好，喜欢，孩子很高兴,5,1
使用了一会，价格在这呢，不能和上Q的比,5,1
收到了质量很好，做工材质都挺好，带个孩子去公园里放飞了回，玩的很嗨,5,1
挺好用的,5,1
买手环送的，使用起来可以，就是手机耗电快了,5,1
质量特别的好，宝贝很喜欢玩充电很快比超市里优惠多了以后需要玩具还来你家棒棒哒,5,1
以前没用过   蛮不错的  可以看视频玩,5,1
赠品我是挺满足的,5,1
